#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 04 24 18 00 245  1.8  2.3  0.11  2.43 99.00 999 9999.0   4.7   3.9 999.0 99.0 99.00
2019 04 24 18 20 270  0.9  2.2  0.10  2.60 99.00 999 9999.0   5.7   4.2 999.0 99.0 99.00
2019 04 24 18 40 212  0.4  1.0 99.00 99.00 99.00 999 9999.0   6.6   4.3 999.0 99.0 99.00
2019 04 24 19 00 228  0.8  1.1 99.00 99.00 99.00 999 9999.0   6.8   4.3 999.0 99.0 99.00
2019 04 24 19 20 241  0.4  1.1 99.00 99.00 99.00 999 9999.0   6.8   4.2 999.0 99.0 99.00
2019 04 24 19 40 113  0.5  1.0 99.00 99.00 99.00 999 9999.0   6.8   4.1 999.0 99.0 99.00
2019 04 24 20 00 158  0.5  0.8 99.00 99.00 99.00 999 9999.0   6.9   4.1 999.0 99.0 99.00
2019 04 24 20 20 112  0.8  1.0 99.00 99.00 99.00 999 9999.0   6.4   4.0 999.0 99.0 99.00
2019 04 24 20 40 119  0.5  0.8 99.00 99.00 99.00 999 9999.0   7.6   3.9 999.0 99.0 99.00
2019 04 24 21 00 190  0.8  1.0 99.00 99.00 99.00 999 9999.0   7.7   3.8 999.0 99.0 99.00
2019 04 24 21 20 199  0.8  1.0 99.00 99.00 99.00 999 9999.0   7.0   3.7 999.0 99.0 99.00
2019 04 24 21 40 235  0.4  0.5  0.08  3.25 99.00 999 9999.0   7.7   3.6 999.0 99.0 99.00
2019 04 24 22 00 301  1.4  1.5  0.08  3.33 99.00 999 9999.0   6.0   3.5 999.0 99.0 99.00
2019 04 24 22 20 349  1.2  1.4  0.09  3.25 99.00 999 9999.0   5.3   3.5 999.0 99.0 99.00
2019 04 24 22 40  11  0.9  1.2  0.08  3.42 99.00 999 9999.0   5.8   3.4 999.0 99.0 99.00
2019 04 24 23 00 155  0.0  0.2  0.07  3.45 99.00 999 9999.0   8.2   3.4 999.0 99.0 99.00
2019 04 24 23 20 151  0.5  0.8  0.07  3.49 99.00 999 9999.0   7.0   3.4 999.0 99.0 99.00
2019 04 24 23 40 144  0.9  1.1  0.07  3.37 99.00 999 9999.0   6.6   3.4 999.0 99.0 99.00
2019 04 25 00 00 143  0.8  1.0  0.07  3.36 99.00 999 9999.0   6.9   3.3 999.0 99.0 99.00
2019 04 25 00 20 155  0.6  0.8  0.06  3.33 99.00 999 9999.0   7.2   3.3 999.0 99.0 99.00
2019 04 25 00 40 175  0.0  0.4 99.00 99.00 99.00 999 1012.0   6.1   3.2 999.0 99.0 99.00
2019 04 25 01 00  79  0.0  0.3 99.00 99.00 99.00 999 1011.9   5.5   3.2 999.0 99.0 99.00
2019 04 25 01 20  50  0.5  0.6 99.00 99.00 99.00 999 1011.9   5.8   3.2 999.0 99.0 99.00
2019 04 25 01 40   7  0.8  1.0 99.00 99.00 99.00 999 1012.2   6.1   3.2 999.0 99.0 99.00
2019 04 25 02 00 200  0.9  1.2 99.00 99.00 99.00 999 1012.3   5.6   3.2 999.0 99.0 99.00
2019 04 25 02 20 166  1.6  1.9 99.00 99.00 99.00 999 1012.2   5.6   3.1 999.0 99.0 99.00
2019 04 25 11 00 195  0.9  3.6 99.00 99.00 99.00 999 1009.9   4.6   3.2 999.0 99.0 99.00
2019 04 25 11 20 292  1.8  3.0 99.00 99.00 99.00 999 1010.2   3.6   3.1 999.0 99.0 99.00
2019 04 25 11 40 229  0.4  0.9 99.00 99.00 99.00 999 1010.4   4.4   3.1 999.0 99.0 99.00
2019 04 25 12 00 106  0.2  0.5  0.04  3.18 99.00 999 1010.4   6.9   3.1 999.0 99.0 99.00
2019 04 25 12 20 332  1.3  2.0  0.04  3.26 99.00 999 1010.5   4.1   3.1 999.0 99.0 99.00
2019 04 25 12 40  63  1.0  1.9  0.05  2.82 99.00 999 1010.3   5.0   3.1 999.0 99.0 99.00
2019 04 25 13 00  48  1.3  1.5  0.04  3.22 99.00 999 1010.4   5.2   3.1 999.0 99.0 99.00
2019 04 25 13 20 105  0.9  1.1  0.04  3.28 99.00 999 1010.3   6.5   3.1 999.0 99.0 99.00
2019 04 25 13 40 211  0.7  1.3  0.04  3.48 99.00 999 1010.5   6.4   3.1 999.0 99.0 99.00
2019 04 25 14 00 180  1.9  2.1  0.04  3.34 99.00 999 1010.3   5.4   3.2 999.0 99.0 99.00
2019 04 25 14 20 181  1.7  1.9  0.05  3.02 99.00 999 1010.1   5.2   3.1 999.0 99.0 99.00
2019 04 25 14 40 198  1.8  2.1  0.04  3.09 99.00 999 1010.0   5.7   3.2 999.0 99.0 99.00
2019 04 25 15 00 198  1.2  1.5  0.04  3.17 99.00 999 1010.1   5.2   3.2 999.0 99.0 99.00
2019 04 25 15 20 232  0.1  0.3  0.04  2.94 99.00 999 1010.0   5.8   3.3 999.0 99.0 99.00
2019 04 25 15 40 200  0.4  0.5  0.04  2.61 99.00 999 1009.9   8.4   3.3 999.0 99.0 99.00
2019 04 25 16 00 231  1.3  1.5  0.04  2.63 99.00 999 1009.8   5.1   3.2 999.0 99.0 99.00
2019 04 25 16 20 198  1.2  1.3 99.00 99.00 99.00 999 1009.6   5.2   3.2 999.0 99.0 99.00
2019 04 25 16 40 276  2.0  2.7 99.00 99.00 99.00 999 1009.2   4.7   3.3 999.0 99.0 99.00
