#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 07 30 19 40 310  8.0  9.3  0.51  2.80 99.00   4 1013.6  23.6  24.7 999.0 99.0 99.00
2020 07 30 20 00 306  9.2 10.3  0.62  2.99 99.00 999 1013.4  23.6  24.6 999.0 99.0 99.00
2020 07 30 20 20 309  9.0 10.1  0.74  3.20 99.00 999 1013.4  23.4  24.5 999.0 99.0 99.00
2020 07 30 20 40 310  9.2 10.5  0.81  3.41 99.00 999 1013.3  23.1  24.5 999.0 99.0 99.00
2020 07 30 21 00 311  9.3 10.6  0.90  3.61 99.00 999 1013.1  23.1  24.4 999.0 99.0 99.00
2020 07 30 21 20 314  9.4 10.8  0.79  3.31 99.00 999 1012.9  23.1  24.4 999.0 99.0 99.00
2020 07 30 21 40 313  9.0 10.7  0.87  3.48 99.00 999 1012.9  23.0  24.3 999.0 99.0 99.00
2020 07 30 22 00 309  8.8 10.0  0.85  3.47 99.00 999 1012.8  23.0  24.3 999.0 99.0 99.00
2020 07 30 22 20 312  8.4 10.0  0.89  3.56 99.00 999 1012.8  23.0  24.3 999.0 99.0 99.00
2020 07 30 22 40 310  8.1  9.4  0.89  3.61 99.00 999 1012.8  23.2  24.3 999.0 99.0 99.00
2020 07 30 23 00 307  7.7  9.3  0.89  3.70 99.00 999 1012.9  23.2  24.2 999.0 99.0 99.00
2020 07 30 23 20 308  7.3  8.4  0.89  3.55 99.00 999 1012.9  23.3  24.2 999.0 99.0 99.00
2020 07 30 23 40 312  6.6  7.8  0.84  3.64 99.00 999 1012.9  23.7  24.2 999.0 99.0 99.00
2020 07 31 00 00 312  5.7  6.4  0.75  3.50 99.00 999 1013.1  23.9  24.2 999.0 99.0 99.00
2020 07 31 00 20 327  5.4  6.3  0.70  3.60 99.00 999 1013.2  24.1  24.2 999.0 99.0 99.00
2020 07 31 00 40 337  4.7  5.7  0.68  3.53 99.00 999 1013.4  24.1  24.2 999.0 99.0 99.00
2020 07 31 01 00 339  5.0  6.1  0.60  3.51 99.00 999 1013.6  24.0  24.2 999.0 99.0 99.00
2020 07 31 01 20 339  4.7  5.3  0.59  3.62 99.00 999 1013.8  23.7  24.2 999.0 99.0 99.00
2020 07 31 01 40 345  5.0  5.9  0.59  3.60 99.00 999 1013.9  23.4  24.2 999.0 99.0 99.00
2020 07 31 02 00 350  5.2  6.0  0.57  3.34 99.00 999 1014.2  23.1  24.1 999.0 99.0 99.00
2020 07 31 02 20   1  5.5  6.5  0.55  3.39 99.00 999 1014.3  22.9  24.1 999.0 99.0 99.00
2020 07 31 02 40   7  5.6  6.7  0.52  3.45 99.00 999 1014.4  22.7  24.1 999.0 99.0 99.00
2020 07 31 03 00  10  6.3  7.5  0.52  3.36 99.00 999 1014.5  22.5  24.1 999.0 99.0 99.00
2020 07 31 03 20  15  7.0  8.5  0.48  3.28 99.00 999 1014.4  22.3  24.1 999.0 99.0 99.00
2020 07 31 03 40  15  6.9  8.2  0.49  3.16 99.00 999 1014.4  22.4  24.0 999.0 99.0 99.00
2020 07 31 04 00  18  7.0  8.8  0.47  3.26 99.00 999 1014.3  22.4  24.0 999.0 99.0 99.00
2020 07 31 04 20  26  6.6  8.5  0.44  2.99 99.00 999 1014.3  22.2  24.0 999.0 99.0 99.00
2020 07 31 04 40  26  7.1  8.2  0.45  3.12 99.00 999 1014.1  22.0  24.0 999.0 99.0 99.00
2020 07 31 05 00  31  6.9  8.4  0.40  2.95 99.00 999 1014.1  21.8  23.9 999.0 99.0 99.00
2020 07 31 05 20  29  7.5  8.5  0.41  2.96 99.00 999 1014.1  21.5  23.9 999.0 99.0 99.00
2020 07 31 05 40  27  7.4  8.7  0.38  2.75 99.00 325 1013.9  21.3  23.9 999.0 99.0 99.00
2020 07 31 06 00  24  7.0  8.4  0.38  2.72 99.00 999 1013.9  21.1  23.9 999.0 99.0 99.00
2020 07 31 06 20  33  7.0  8.4  0.36  2.69 99.00 999 1013.7  20.9  23.8 999.0 99.0 99.00
2020 07 31 06 40  34  7.6  8.6  0.35  2.59 99.00 999 1013.6  20.6  23.8 999.0 99.0 99.00
2020 07 31 07 00  38  7.4  8.3  0.36  2.51 99.00 999 1013.5  20.5  23.8 999.0 99.0 99.00
2020 07 31 07 20  38  6.3  8.0  0.34  2.50 99.00 999 1013.6  20.3  23.8 999.0 99.0 99.00
2020 07 31 07 40  41  6.2  7.4  0.31  2.51 99.00 999 1013.6  19.8  23.8 999.0 99.0 99.00
2020 07 31 08 00  51  4.7  5.8  0.32  2.71 99.00 999 1013.8  19.7  23.8 999.0 99.0 99.00
2020 07 31 08 20  63  4.0  4.9  0.28  2.63 99.00 999 1013.8  19.5  23.8 999.0 99.0 99.00
2020 07 31 08 40  41  5.3  6.5  0.26  2.63 99.00 999 1013.6  19.4  23.7 999.0 99.0 99.00
2020 07 31 09 00  45  5.2  6.2  0.25  2.61 99.00 999 1013.6  19.3  23.7 999.0 99.0 99.00
2020 07 31 09 20  48  3.6  4.3  0.25  2.67 99.00 999 1013.8  19.2  23.7 999.0 99.0 99.00
2020 07 31 09 40  47  4.5  5.2  0.24  2.68 99.00 326 1013.9  19.2  23.7 999.0 99.0 99.00
2020 07 31 10 00  45  3.6  4.5  0.23  2.68 99.00 326 1014.1  19.2  23.7 999.0 99.0 99.00
2020 07 31 10 20  32  4.1  5.2  0.23  2.67 99.00 999 1014.3  18.9  23.7 999.0 99.0 99.00
2020 07 31 10 40  31  4.3  5.7  0.25  2.51 99.00 319 1014.4  18.7  23.7 999.0 99.0 99.00
2020 07 31 11 00  32  6.2  7.2  0.26  2.52 99.00 300 1014.3  18.7  23.7 999.0 99.0 99.00
2020 07 31 11 20  42  5.4  6.4  0.28  2.41 99.00  23 1014.5  18.9  23.7 999.0 99.0 99.00
2020 07 31 11 40  52  4.6  5.5  0.28  2.46 99.00 309 1014.7  19.4  23.7 999.0 99.0 99.00
2020 07 31 12 00  58  4.4  5.2  0.27  2.50 99.00 300 1015.1  19.6  23.7 999.0 99.0 99.00
2020 07 31 12 20  58  4.3  5.2  0.25  2.38 99.00 238 1015.2  20.1  23.7 999.0 99.0 99.00
2020 07 31 12 40  52  4.2  5.0  0.24  2.44 99.00 308 1015.1  20.3  23.7 999.0 99.0 99.00
2020 07 31 13 00  47  3.7  4.7  0.23  2.38 99.00 277 1015.2  20.7  23.7 999.0 99.0 99.00
2020 07 31 13 20  44  3.0  4.0  0.22  2.63 99.00 279 1015.4  21.0  23.7 999.0 99.0 99.00
2020 07 31 13 40  55  2.1  3.2  0.20  2.54 99.00 999 1015.7  21.4  23.7 999.0 99.0 99.00
2020 07 31 14 00  53  1.4  2.1  0.19  2.48 99.00 999 1015.7  21.9  23.7 999.0 99.0 99.00
2020 07 31 14 20   4  3.5  4.5  0.19  2.59 99.00 269 1015.8  21.7  23.7 999.0 99.0 99.00
2020 07 31 14 40  11  3.3  4.1  0.17  2.44 99.00 208 1015.8  22.0  23.7 999.0 99.0 99.00
2020 07 31 15 00  44  2.8  3.4  0.16  2.59 99.00 235 1015.9  22.2  23.7 999.0 99.0 99.00
2020 07 31 15 20 293  2.5  3.3  0.18  2.72 99.00 238 1016.0  22.0  23.8 999.0 99.0 99.00
2020 07 31 15 40 282  2.5  2.9  0.16  2.89 99.00 290 1016.0  21.9  23.8 999.0 99.0 99.00
2020 07 31 16 00 289  2.8  3.7  0.15  2.82 99.00 160 1015.9  22.2  23.9 999.0 99.0 99.00
2020 07 31 16 20 289  3.8  4.8  0.17  2.56 99.00 287 1015.8  22.5  23.9 999.0 99.0 99.00
2020 07 31 16 40 299  3.8  4.7  0.19  2.50 99.00 305 1015.7  22.7  24.0 999.0 99.0 99.00
2020 07 31 17 00 297  4.8  5.9  0.20  2.31 99.00 263 1015.6  22.7  24.0 999.0 99.0 99.00
2020 07 31 17 20 301  5.3  6.4  0.23  2.22 99.00 202 1015.5  22.7  23.9 999.0 99.0 99.00
2020 07 31 17 40 291  5.6  6.4  0.25  2.18 99.00 262 1015.4  22.5  23.9 999.0 99.0 99.00
2020 07 31 18 00 297  5.8  6.6  0.26  2.28 99.00 305 1015.3  22.8  23.9 999.0 99.0 99.00
2020 07 31 18 20 302  6.1  7.2  0.29  2.26 99.00 157 1015.2  23.0  23.9 999.0 99.0 99.00
2020 07 31 18 40 301  6.8  7.7  0.35  2.34 99.00  34 1015.1  23.1  24.0 999.0 99.0 99.00
2020 07 31 19 00 312  7.3  8.4  0.40  2.49 99.00 999 1015.1  22.9  23.9 999.0 99.0 99.00
2020 07 31 19 20 313  7.7  8.9  0.46  2.60 99.00 301 1015.1  22.9  23.9 999.0 99.0 99.00
2020 07 31 19 40 311  7.3  8.7  0.50  2.64 99.00 999 1014.9  23.0  23.9 999.0 99.0 99.00
2020 07 31 20 00 307  7.5  8.7  0.60  2.95 99.00 999 1014.7  23.0  23.9 999.0 99.0 99.00
2020 07 31 20 20 310  7.9  9.4  0.60  2.86 99.00 999 1014.5  22.9  23.8 999.0 99.0 99.00
2020 07 31 20 40 307  8.4  9.8  0.67  3.05 99.00 999 1014.5  22.8  23.8 999.0 99.0 99.00
2020 07 31 21 00 308  8.3 10.0  0.72  3.14 99.00 999 1014.3  22.9  23.8 999.0 99.0 99.00
2020 07 31 21 20 306  8.5 10.0  0.68  3.06 99.00 999 1014.3  22.7  23.8 999.0 99.0 99.00
2020 07 31 21 40 310  8.6 10.3  0.71  3.12 99.00 999 1014.1  22.7  23.7 999.0 99.0 99.00
2020 07 31 22 00 305  8.5  9.5  0.66  3.12 99.00 999 1014.2  22.7  23.7 999.0 99.0 99.00
2020 07 31 22 20 308  8.5  9.7  0.67  3.05 99.00 999 1014.1  22.8  23.6 999.0 99.0 99.00
2020 07 31 22 40 309  7.9  9.2  0.72  3.14 99.00 999 1014.0  22.8  23.5 999.0 99.0 99.00
2020 07 31 23 00 320  7.9  9.1  0.68  3.09 99.00 999 1014.0  22.8  23.4 999.0 99.0 99.00
2020 07 31 23 20 318  7.7  8.8  0.62  2.97 99.00 999 1013.9  22.8  23.3 999.0 99.0 99.00
2020 07 31 23 40 325  6.9  8.0  0.63  3.01 99.00 999 1014.0  22.9  23.2 999.0 99.0 99.00
2020 08 01 00 00 322  7.2  8.8  0.61  3.08 99.00 999 1014.1  22.8  23.2 999.0 99.0 99.00
2020 08 01 00 20 328  6.5  7.5  0.53  2.92 99.00 999 1014.1  22.7  23.1 999.0 99.0 99.00
2020 08 01 00 40 341  5.5  6.3  0.51  2.93 99.00 999 1014.2  22.8  23.0 999.0 99.0 99.00
2020 08 01 01 00 357  5.0  5.6  0.45  2.76 99.00 999 1014.2  22.8  22.9 999.0 99.0 99.00
2020 08 01 01 20   7  4.5  5.2  0.40  2.82 99.00 999 1014.1  22.6  22.9 999.0 99.0 99.00
2020 08 01 01 40 357  5.4  6.4  0.37  2.79 99.00 999 1014.3  22.4  22.8 999.0 99.0 99.00
2020 08 01 02 00   5  4.8  6.0  0.32  2.67 99.00 319 1014.4  22.3  22.7 999.0 99.0 99.00
2020 08 01 02 20  17  5.2  6.2  0.30  2.53 99.00 999 1014.5  22.1  22.6 999.0 99.0 99.00
2020 08 01 02 40  26  5.1  5.6  0.31  2.53 99.00 326 1014.5  21.9  22.5 999.0 99.0 99.00
2020 08 01 03 00  30  4.9  5.6  0.27  2.53 99.00 325 1014.6  21.7  22.4 999.0 99.0 99.00
2020 08 01 03 20  20  4.0  4.5  0.28  2.51 99.00 999 1014.7  21.6  22.2 999.0 99.0 99.00
2020 08 01 03 40  25  4.3  5.7  0.25  2.54 99.00 324 1014.5  21.9  22.2 999.0 99.0 99.00
2020 08 01 04 00  28  4.5  5.4  0.25  2.44 99.00 299 1014.3  21.5  22.1 999.0 99.0 99.00
2020 08 01 04 20  33  5.5  6.8  0.22  2.25 99.00 317 1014.0  21.6  22.1 999.0 99.0 99.00
2020 08 01 04 40  53  5.9  7.0  0.21  2.06 99.00 324 1014.1  21.2  22.2 999.0 99.0 99.00
2020 08 01 05 00  64  5.2  6.3  0.20  2.01 99.00  31 1014.1  21.2  22.1 999.0 99.0 99.00
2020 08 01 05 20  61  5.6  6.4  0.20  2.10 99.00 261 1014.0  20.8  22.1 999.0 99.0 99.00
2020 08 01 05 40  72  4.8  5.5  0.19  2.10 99.00 999 1013.9  20.5  22.0 999.0 99.0 99.00
2020 08 01 06 00  74  4.9  5.5  0.18  2.11 99.00 262 1013.7  20.3  21.9 999.0 99.0 99.00
2020 08 01 06 20  76  4.6  5.6  0.17  2.11 99.00 313 1013.5  20.2  21.8 999.0 99.0 99.00
2020 08 01 06 40  76  4.1  4.6  0.17  2.63 99.00  80 1013.5  20.0  21.9 999.0 99.0 99.00
2020 08 01 07 00  83  4.1  5.0  0.16  2.25 99.00 999 1013.4  19.9  21.8 999.0 99.0 99.00
2020 08 01 07 20  89  4.1  4.8  0.15  2.31 99.00 311 1013.4  19.9  21.8 999.0 99.0 99.00
2020 08 01 07 40  96  4.1  4.7  0.16  3.01 99.00 256 1013.1  20.0  21.8 999.0 99.0 99.00
2020 08 01 08 00  76  3.9  4.5  0.14  2.41 99.00 312 1013.0  20.0  21.7 999.0 99.0 99.00
2020 08 01 08 20  82  4.0  4.6  0.15  2.12 99.00  27 1013.1  19.9  21.7 999.0 99.0 99.00
2020 08 01 08 40  70  4.0  4.7  0.14  2.09 99.00 260 1013.1  19.8  21.7 999.0 99.0 99.00
2020 08 01 09 00  67  4.1  5.0  0.14  2.11 99.00 999 1013.1  20.0  21.7 999.0 99.0 99.00
2020 08 01 09 20  65  4.7  5.3  0.13  2.10 99.00 999 1013.2  19.8  21.5 999.0 99.0 99.00
2020 08 01 09 40  77  4.3  5.1  0.15  2.04 99.00 999 1013.2  19.7  21.6 999.0 99.0 99.00
2020 08 01 10 00  60  4.5  5.1  0.15  2.08 99.00  90 1013.2  19.6  21.7 999.0 99.0 99.00
2020 08 01 10 20  70  4.7  5.4  0.15  2.24 99.00 270 1013.3  19.5  21.8 999.0 99.0 99.00
2020 08 01 10 40  77  4.7  5.5  0.17  2.06 99.00  13 1013.4  19.7  22.0 999.0 99.0 99.00
2020 08 01 11 00  88  4.2  5.1  0.17  2.05 99.00 250 1013.6  19.8  21.9 999.0 99.0 99.00
2020 08 01 11 20  85  4.1  4.9  0.16  2.09 99.00 126 1013.7  19.8  22.2 999.0 99.0 99.00
2020 08 01 11 40  79  4.3  5.2  0.16  2.17 99.00 248 1013.8  19.7  22.3 999.0 99.0 99.00
2020 08 01 12 00  77  4.2  4.8  0.15  2.03 99.00 113 1013.9  19.8  22.3 999.0 99.0 99.00
2020 08 01 12 20  78  4.2  4.9  0.15  2.13 99.00 326 1013.9  19.8  22.3 999.0 99.0 99.00
2020 08 01 12 40  79  4.6  5.5  0.15  2.05 99.00   5 1013.8  20.2  22.3 999.0 99.0 99.00
2020 08 01 13 00  78  4.4  5.1  0.15  2.07 99.00 262 1013.8  20.5  22.2 999.0 99.0 99.00
2020 08 01 13 20  80  3.9  4.7  0.15  2.22 99.00 271 1013.9  20.9  22.2 999.0 99.0 99.00
2020 08 01 13 40  87  3.7  4.4  0.15  2.30 99.00 290 1013.9  21.3  22.3 999.0 99.0 99.00
2020 08 01 14 00 102  3.5  4.2  0.14  2.25 99.00 143 1013.8  21.6  22.3 999.0 99.0 99.00
2020 08 01 14 20  89  3.2  4.0  0.12  2.12 99.00 999 1013.8  21.9  22.4 999.0 99.0 99.00
2020 08 01 14 40 111  2.9  3.3  0.12  2.25 99.00  85 1013.7  22.3  22.5 999.0 99.0 99.00
2020 08 01 15 00 102  3.3  4.1  0.14  2.24 99.00 234 1013.7  22.5  22.4 999.0 99.0 99.00
2020 08 01 15 20 107  3.2  3.9  0.12  2.47 99.00 220 1013.6  22.6  22.4 999.0 99.0 99.00
2020 08 01 15 40  99  2.7  3.1  0.13  2.23 99.00 317 1013.5  22.8  22.3 999.0 99.0 99.00
2020 08 01 16 00 105  2.1  2.7  0.13  2.30 99.00  69 1013.4  23.0  22.3 999.0 99.0 99.00
2020 08 01 16 20 115  2.2  2.7  0.14  2.28 99.00 309 1013.3  23.0  22.3 999.0 99.0 99.00
2020 08 01 16 40  63  2.0  2.5  0.15  2.26 99.00 238 1013.1  23.4  22.2 999.0 99.0 99.00
2020 08 01 17 00  50  2.4  2.7  0.14  2.25 99.00 261 1013.1  23.5  22.2 999.0 99.0 99.00
2020 08 01 17 20  46  1.8  2.4  0.11  2.23 99.00 205 1013.0  23.6  22.1 999.0 99.0 99.00
2020 08 01 17 40  20  2.0  2.7  0.14  2.38 99.00 227 1012.9  23.5  22.2 999.0 99.0 99.00
2020 08 01 18 00  44  1.7  2.1  0.16  2.36 99.00 201 1012.6  23.6  22.3 999.0 99.0 99.00
2020 08 01 18 20 337  3.8  4.4  0.16  2.25 99.00 204 1012.4  22.8  22.3 999.0 99.0 99.00
2020 08 01 18 40 340  3.3  3.8  0.15  2.56 99.00 326 1012.3  22.9  22.3 999.0 99.0 99.00
2020 08 01 19 00 342  4.0  4.5  0.17  2.30 99.00 226 1012.3  22.9  22.2 999.0 99.0 99.00
2020 08 01 19 20 341  4.5  5.2  0.17  2.07 99.00 114 1012.2  22.6  22.2 999.0 99.0 99.00
2020 08 01 19 40 327  5.4  6.4  0.20  2.09 99.00 195 1012.0  22.6  22.4 999.0 99.0 99.00
2020 08 01 20 00 317  5.8  6.5  0.21  2.21 99.00 265 1011.8  22.7  22.3 999.0 99.0 99.00
2020 08 01 20 20 319  5.8  6.8  0.23  2.03 99.00 226 1011.6  22.8  22.3 999.0 99.0 99.00
2020 08 01 20 40 328  5.8  6.7  0.22  2.03 99.00 136 1011.5  22.7  22.3 999.0 99.0 99.00
2020 08 01 21 00 330  5.9  6.6  0.25  2.08 99.00 126 1011.3  22.7  22.4 999.0 99.0 99.00
2020 08 01 21 20 330  6.5  7.3  0.23  2.04 99.00 220 1011.1  22.5  22.6 999.0 99.0 99.00
2020 08 01 21 40 331  5.8  6.5  0.26  2.11 99.00 167 1011.1  22.5  22.6 999.0 99.0 99.00
2020 08 01 22 00 334  5.6  6.8  0.29  2.19 99.00 191 1011.1  22.7  22.6 999.0 99.0 99.00
2020 08 01 22 20 336  6.2  7.7  0.33  2.33 99.00 287 1011.1  22.7  22.5 999.0 99.0 99.00
2020 08 01 22 40 340  6.0  6.9  0.34  2.35 99.00 308 1010.9  22.6  22.4 999.0 99.0 99.00
2020 08 01 23 00 340  6.2  7.1  0.38  2.44 99.00 307 1010.9  22.4  22.3 999.0 99.0 99.00
2020 08 01 23 20 338  5.7  6.5  0.40  2.51 99.00 317 1010.9  22.2  22.2 999.0 99.0 99.00
2020 08 01 23 40 359  4.7  5.5  0.41  2.67 99.00 325 1010.7  22.0  22.1 999.0 99.0 99.00
2020 08 02 00 00   9  3.7  4.3  0.38  2.63 99.00 999 1010.5  21.9  22.0 999.0 99.0 99.00
2020 08 02 00 20   7  3.4  3.9  0.32  2.58 99.00 327 1010.5  22.4  21.9 999.0 99.0 99.00
2020 08 02 00 40   7  2.7  3.2  0.28  2.61 99.00 324 1010.6  22.1  21.8 999.0 99.0 99.00
2020 08 02 01 00   7  2.5  2.9  0.25  2.68 99.00 999 1010.5  22.1  21.8 999.0 99.0 99.00
2020 08 02 01 20 357  1.9  2.2  0.23  2.64 99.00 320 1010.6  22.0  21.8 999.0 99.0 99.00
2020 08 02 01 40 358  2.3  2.6  0.20  2.68 99.00 291 1010.5  21.9  21.8 999.0 99.0 99.00
2020 08 02 02 00  11  2.4  3.1  0.19  2.68 99.00 999 1010.4  21.9  21.7 999.0 99.0 99.00
2020 08 02 02 20   4  2.4  2.9  0.20  2.64 99.00 319 1010.5  21.6  21.6 999.0 99.0 99.00
2020 08 02 02 40  24  3.5  3.9  0.19  2.58 99.00 327 1010.5  22.3  21.6 999.0 99.0 99.00
2020 08 02 03 00  19  2.8  3.3  0.17  2.62 99.00 315 1010.4  22.2  21.4 999.0 99.0 99.00
2020 08 02 03 20  13  2.1  2.6  0.17  2.56 99.00 999 1010.3  21.7  21.4 999.0 99.0 99.00
2020 08 02 03 40  16  1.9  2.2  0.15  2.57 99.00 215 1010.1  22.0  21.3 999.0 99.0 99.00
2020 08 02 04 00 342  2.8  3.3  0.14  2.56 99.00 306 1009.9  21.3  21.2 999.0 99.0 99.00
2020 08 02 04 20   6  2.3  2.6  0.14  2.58 99.00 276 1009.8  21.1  21.1 999.0 99.0 99.00
2020 08 02 04 40 352  2.0  2.3  0.13  2.59 99.00 122 1009.6  21.2  21.0 999.0 99.0 99.00
2020 08 02 05 00 358  2.0  2.4  0.13  2.74 99.00 325 1009.6  21.2  20.9 999.0 99.0 99.00
2020 08 02 05 20   0  2.6  2.9  0.13  2.52 99.00 999 1009.5  21.0  20.7 999.0 99.0 99.00
2020 08 02 05 40   6  1.8  2.4  0.12  2.54 99.00 293 1009.4  20.8  20.6 999.0 99.0 99.00
2020 08 02 06 00 350  1.7  1.8  0.11  2.50 99.00 268 1009.2  20.4  20.5 999.0 99.0 99.00
2020 08 02 06 20  27  1.1  1.5  0.12  2.57 99.00  28 1009.1  20.2  20.3 999.0 99.0 99.00
2020 08 02 06 40  67  0.4  0.9  0.12  2.50 99.00 252 1009.1  19.9  20.3 999.0 99.0 99.00
2020 08 02 07 00  89  1.4  2.0  0.12  2.51 99.00 276 1009.0  19.8  20.2 999.0 99.0 99.00
2020 08 02 07 20 129  0.1  0.4  0.12  2.60 99.00  38 1008.9  19.5  20.1 999.0 99.0 99.00
2020 08 02 07 40 244  1.5  1.9  0.12  2.54 99.00 327 1008.7  19.8  20.0 999.0 99.0 99.00
2020 08 02 08 00 234  2.2  2.9  0.12  2.51 99.00 264 1008.7  20.1  20.0 999.0 99.0 99.00
2020 08 02 08 20 253  0.9  1.6  0.11  2.52 99.00 248 1008.6  20.0  20.0 999.0 99.0 99.00
2020 08 02 08 40 221  0.5  0.9  0.12  2.56 99.00 263 1008.5  20.0  20.0 999.0 99.0 99.00
2020 08 02 09 00 352  0.8  1.2  0.11  2.60 99.00   3 1008.5  19.9  19.9 999.0 99.0 99.00
2020 08 02 09 20 301  1.6  2.2  0.11  2.60 99.00 237 1008.5  19.7  19.9 999.0 99.0 99.00
2020 08 02 09 40 338  2.3  2.6  0.11  2.61 99.00   6 1008.6  19.7  19.8 999.0 99.0 99.00
2020 08 02 10 00 346  2.7  3.1  0.10  2.64 99.00 999 1008.7  19.8  19.8 999.0 99.0 99.00
2020 08 02 10 20 355  3.1  3.5  0.11  2.55 99.00  16 1008.7  19.8  19.7 999.0 99.0 99.00
2020 08 02 10 40 346  3.1  3.7  0.10  2.54 99.00  23 1008.7  19.9  19.7 999.0 99.0 99.00
2020 08 02 11 00 338  3.9  4.6  0.10  2.34 99.00 229 1008.8  20.0  19.6 999.0 99.0 99.00
2020 08 02 11 20   6  3.7  4.2  0.11  2.00 99.00 242 1008.8  19.7  19.6 999.0 99.0 99.00
2020 08 02 11 40 346  4.5  5.4  0.13 99.00 99.00 268 1008.8  19.8  19.6 999.0 99.0 99.00
2020 08 02 12 00 345  4.6  5.5  0.12 99.00 99.00  74 1008.9  20.0  19.6 999.0 99.0 99.00
2020 08 02 12 20 353  4.9  5.6  0.13 99.00 99.00 287 1009.0  20.2  19.7 999.0 99.0 99.00
2020 08 02 12 40 325  4.7  5.5  0.14 99.00 99.00  32 1009.1  20.3  19.8 999.0 99.0 99.00
2020 08 02 13 00 276  5.2  6.0  0.15 99.00 99.00  73 1009.1  20.2  19.9 999.0 99.0 99.00
2020 08 02 13 20 278  5.4  6.2  0.18  2.00 99.00 255 1009.1  20.0  20.2 999.0 99.0 99.00
2020 08 02 13 40 304  3.2  4.0  0.18 99.00 99.00 999 1009.4  20.2  20.3 999.0 99.0 99.00
2020 08 02 14 00 347  2.4  2.9  0.16  2.09 99.00 288 1009.5  20.6  20.4 999.0 99.0 99.00
2020 08 02 14 20 345  2.3  2.5  0.12  2.09 99.00 147 1009.7  20.7  20.7 999.0 99.0 99.00
2020 08 02 14 40 326  2.0  2.4  0.12  2.16 99.00 274 1009.8  21.0  20.8 999.0 99.0 99.00
2020 08 02 15 00 318  2.1  2.4  0.12  2.20 99.00 296 1009.9  21.1  20.9 999.0 99.0 99.00
2020 08 02 15 20 255  2.8  3.5  0.11  2.17 99.00 999 1010.1  21.1  20.9 999.0 99.0 99.00
2020 08 02 15 40 277  2.0  2.7  0.11  2.30 99.00  10 1010.3  21.2  20.8 999.0 99.0 99.00
2020 08 02 16 00 208  1.1  1.5  0.12  2.14 99.00 231 1010.3  21.2  20.7 999.0 99.0 99.00
2020 08 02 16 20 122  0.8  1.3  0.13  2.28 99.00 278 1010.5  21.4  20.3 999.0 99.0 99.00
2020 08 02 16 40 136  0.7  1.4  0.13  2.24 99.00 133 1010.5  21.5  20.1 999.0 99.0 99.00
2020 08 02 17 00 116  1.9  2.3  0.14  2.29 99.00 999 1010.6  20.7  20.1 999.0 99.0 99.00
2020 08 02 17 20 139  2.1  2.4  0.15  2.29 99.00 305 1010.5  20.7  20.2 999.0 99.0 99.00
