#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 07 30 13 20  55  3.5  4.3  0.14  2.41 99.00 312 1014.7  21.3  23.9 999.0 99.0 99.00
2020 07 30 13 40  52  3.7  4.5  0.12 99.00 99.00 321 1014.7  21.4  24.0 999.0 99.0 99.00
2020 07 30 14 00  47  4.6  6.1  0.14  2.04 99.00 257 1014.7  21.6  24.1 999.0 99.0 99.00
2020 07 30 14 20  47  3.6  5.1  0.15 99.00 99.00 311 1014.8  22.0  24.1 999.0 99.0 99.00
2020 07 30 14 40  53  2.6  3.8  0.14 99.00 99.00  66 1014.7  22.5  24.1 999.0 99.0 99.00
2020 07 30 15 00  52  2.2  4.0  0.12  2.13 99.00  14 1014.9  23.0  24.2 999.0 99.0 99.00
2020 07 30 15 20  32  3.6  4.6  0.13  2.09 99.00  47 1014.9  23.2  24.2 999.0 99.0 99.00
2020 07 30 15 40  28  2.8  3.7  0.12  2.01 99.00 263 1014.8  23.5  24.2 999.0 99.0 99.00
2020 07 30 16 00   5  2.9  3.6  0.10  2.16 99.00 263 1014.7  23.6  24.2 999.0 99.0 99.00
2020 07 30 16 20  21  3.4  4.4  0.12  2.31 99.00 999 1014.7  23.9  24.3 999.0 99.0 99.00
2020 07 30 16 40  44  3.6  4.6  0.18  2.68 99.00 309 1014.5  24.2  24.3 999.0 99.0 99.00
2020 07 30 17 00  18  2.4  4.2  0.14  2.49 99.00 132 1014.6  24.6  24.4 999.0 99.0 99.00
2020 07 30 17 20 299  3.7  5.0  0.17  2.56 99.00 245 1014.5  23.8  24.7 999.0 99.0 99.00
2020 07 30 17 40 289  5.0  6.1  0.18  2.39 99.00  64 1014.4  23.4  24.7 999.0 99.0 99.00
2020 07 30 18 00 285  5.7  6.7  0.19  2.28 99.00 302 1014.3  23.0  24.7 999.0 99.0 99.00
2020 07 30 18 20 287  5.2  6.4  0.21  2.25 99.00  25 1014.3  23.4  24.7 999.0 99.0 99.00
2020 07 30 18 40 296  6.0  7.0  0.26  2.34 99.00 999 1014.0  23.6  24.7 999.0 99.0 99.00
2020 07 30 19 00 310  7.4  8.8 99.00 99.00 99.00 999 1013.7  23.5  24.7 999.0 99.0 99.00
2020 07 30 19 20 314  8.2  9.4  0.42  2.54 99.00 326 1013.7  23.5  24.7 999.0 99.0 99.00
