#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 06 15 20 00  98  5.6  7.0  0.59 99.00 99.00 999 9999.0  15.8  15.5  11.7 99.0 99.00
2020 06 15 20 10  97  5.3  7.1  0.66 99.00 99.00 999 9999.0  15.7  15.5  11.9 99.0 99.00
2020 06 15 20 20 100  5.6  7.4  0.66 99.00 99.00 299 9999.0  15.7  15.5  11.7 99.0 99.00
2020 06 15 20 30 103  5.6  7.4  0.70 99.00 99.00 999 9999.0  15.7  15.5  11.6 99.0 99.00
2020 06 15 20 50 111  5.5  7.1  0.63  7.82 99.00  20 9999.0  15.8  15.5  11.3 99.0 99.00
2020 06 15 21 00 116  5.4  6.8  0.58  7.82 99.00 999 9999.0  15.9  15.5  11.2 99.0 99.00
2020 06 15 22 00 121  3.0  4.4  0.56  3.36 99.00  19 9999.0  16.2  15.6  11.6 99.0 99.00
2020 06 15 23 30 102  2.7  3.8  0.47  3.19 99.00 999 9999.0  16.2  15.6  12.7 99.0 99.00
2020 06 16 01 30 150  3.2  4.3  0.38  3.33 99.00  34 9999.0  15.7  15.5  12.1 99.0 99.00
2020 06 16 03 40 134  2.4  3.2  0.34  3.22 99.00  37 9999.0  15.5  15.5  13.3 99.0 99.00
2020 06 16 04 00 137  1.3  2.5  0.33  3.05 99.00 999 9999.0  15.4  15.5  13.4 99.0 99.00
2020 06 16 05 10 166  2.4  3.6  0.33  3.11 99.00  43 9999.0  15.3  15.5  13.4 99.0 99.00
2020 06 16 05 20 171  3.4  4.9  0.30  3.13 99.00  41 9999.0  15.3  15.6  13.2 99.0 99.00
2020 06 16 05 30 172  4.2  5.3  0.31  3.11 99.00  56 9999.0  15.4  15.6  12.9 99.0 99.00
2020 06 16 06 00 196  2.8  3.8  0.31  3.18 99.00  63 9999.0  15.1  15.6  12.3 99.0 99.00
2020 06 16 06 10 201  2.6  3.2  0.31  3.17 99.00  39 9999.0  15.2  15.6  11.7 99.0 99.00
2020 06 16 06 20 201  2.3  2.9  0.31  3.11 99.00  42 9999.0  15.2  15.6  11.6 99.0 99.00
2020 06 16 06 50 180  2.3  2.8  0.30  3.22 99.00  28 9999.0  14.9  15.6  11.5 99.0 99.00
2020 06 16 07 10 182  1.6  2.2  0.29  3.13 99.00  33 9999.0  15.0  15.6  11.8 99.0 99.00
2020 06 16 07 30 194  1.4  2.0  0.28  2.90 99.00  24 9999.0  15.2  15.6  12.3 99.0 99.00
